UPC	Category	Brand	Product Name	Total Weight (g)	Total weight (Oz)	Serving size (g)	Number of Servings	Sugar per serving (g)	Added sugar per serving (g)	Total Sugar (g)	Total Added Sugar (g)	Total Added Sugar (tsp)	type of sugar	Ingredients	pictures	Use Total Sugar?
859888000080	Granola	Go Raw Organic Live Granola	Granola: Raisin Crunch	454		56	8			106	0	0	None			
859888000622	Granola	Go Raw Organic Live Granola	Granola: Coco Crunch	453		56	8			146	0	0	None			
058449890256	Granola	Nature's Path	Granola: Flax Plus Vanilla Almond Granola	325		55	6			60	48	12	"Molasses, Oat syrup solids, Cane sugar"			
058449890072	Granola	Nature's Path	Granola: Flax Plus Pumpkin Seeds Granola	325		55	6			60	54	14	"Molasses, Oat syrup solids, Cane sugar"			
058449890096	Granola	Nature's Path	Granola: Peanut Butter Granola	326		55	6			54	42	11	"Evaporated cane juice, Molasses, Oat Syrup Solids"			
013964497144	Granola	Paleonola	Granola: The Original	283		28	10			41	40	10	"Honey, Apple juice concentrate"			
013964497113	Granola	Paleonola	Granola: Chocolate Fix	283		28	10			41	40	10	"Honey, Apple juice concentrate"			
013964497120	Granola	Paleonola	Granola: Maple Pancake	283		28	10			41	30	8	"Honey, Maple syrup"			
013964497106	Granola	Paleonola	Granola: Apple Pie	283		28	10			35	30	8	Organic Honey			
091037367808	Granola	Paleonola	Granola: Pina Colada	283		28	10			51	30	8	"Honey, Maple syrup"			
077890377024	Granola	Wegmans	"Granola: Wegmans Organic Food You Feel Good About Granola, Vanilla and Almonds"	330		43	11			85	88	22	"Organic sugar, Organic barley malt syrup, Organic honey, Organic milled cane sugar"			
077890352267	Granola	Wegmans	"Granola: Wegmans Organic Food You Feel Good About Granola, Blueberry and Flax"	330		30	11			88	88	22	"Organic barley malt syrup, Organic honey, Organic milled cane sugar"			
077890352335	Granola	Wegmans	"Granola: Wegmans Organic Food You Feel Good About Granola, Ancient Grain"	340		30	11			68	66	17	"Organic molasses, Organic milled cane sugar"			
077890370575	Granola	Wegmans	"Granola: Wegmans Organic Food You Feel Good About Granola, Pumpkin Flax"	340		30	11			68	66	17	"Organic molasses, Organic brown rice syrup, Organic milled cane sugar"			
077890352212	Granola	Wegmans	"Granola: Wegmans Organic Food You Feel Good About Granola, Coconut Baobab"	340		30	11			80	77	20	"Organic barley malt syrup, Organic honey, Organic milled cane sugar"			
077890352199	Granola	Wegmans	"Granola: Wegmans Organic Food You Feel Good About Granola, Cocoa and Chia?"	340		30	11			80	77	20	"Organic barley malt syrup, Organic milled cane sugar"			
648960002513	Granola	Grandy Oats	Granola: Organic Classic	340		59	6			35	30	8	Organic honey			
648960637074	Granola	Grandy Oats	Granola: Organic Gluten Free Coconut + Fruit Granola	340		55	6			62	42	11	"Organic coconut syrup, Organic apple juice concentrate, Organic maple syrup?"			
071100006063	Dressing	Hidden Valley	Dressing Coleslaw	16 fl oz		2 tbsp (30 mL)	16			64	64	16	Sugar			
071100005516	Dressing	Hidden Valley	Dressing The Original Ranch?	16 fl oz		2 tbsp (30 mL)	16			16	16	4	Sugar			
071100007077	Dressing	Hidden Valley	Dressing The Original Ranch Fat Free	16 fl oz		2 tbsp (30 mL)	16			48	48	12	"Corn syrup, maltodextrin, sugar"			
021000644698	Dressing	Kraft	Dressing Classic Catalina	16 fl oz		2 tbsp (30 mL)	16			128	128	32	Sugar			
492120800798	Dressing	Kraft	Dressing Classic Ranch	16 fl oz		2 tbsp (30 mL)	16			32	32	8	Sugar			
021000644704	Dressing	Kraft	Dressing Coleslaw	16 fl oz		2 tbsp (30 mL)	16			144	144	36	High fructose corn syrup			
