ID	Product Name	Database	Image Target	Total Weight (g)	Total Sugar (g)	Added Sugar (g)	Types of Sugar									
1	Hershey Reeses	Local_VendingMachin	Hersheys-Reeses-OneAndHalfOz-5	42	22	20	"Sugar, Corn syrup, Dextrose"									
2	Wrigleys Orbit Peppermint	Local_VendingMachin	Wrigleys-OrbitPeppermint-FourteenPiece-3	21	14	14	sugar alcohol (glycerol)									
3	Nestle Crunch	Local_VendingMachin	Nestle-Crunch-OneAndHalfOz-6	1.55	24	24	"Sugar, Barley Malt"									
4	Nestle Butterfinger Peanut Butter Cups	Local_VendingMachin	Nestle-ButterfingerCups-OneAndHalfOz-5	42.5	22	22	"Sugar, Corn syrup, Dextrose, Lactose"									
5	General Mills Chex Mix Traditional	Local_VendingMachin	GeneralMills-TraditionalChexMix-TwoOz-1	50	3	3	"Sugar, Maltodextrin, Dextrose,?Malt syrup"									
6	Kellogs Strawberry Pop Tart	Local_VendingMachin	Kellogs-StrawberryPopTart-FourOz-8	104	33	16	"Corn syrup, High fructose corn syrup, Dextrose, Sugar"									
7	Kind Dark Chocolate Nuts And Sea Salt	Local_VendingMachin	Kind-DarkChocNutsSeaSalt-OneOz-4	40	5	4	"Sugar, Honey, Glucose syrup"									
8	Hershey Kit Kat	Local_VendingMachin	Hershey-BigKitKat-OneAndHalfOz-5	42	24	21	"Sugar, Lactose"									
9	Kars All Energy Trail Mix	Test	Kars-AllEnergyTrailMix-Unsalted-4	57	14	4	"Sugar, Dextrose"									
10	Bakery on Main Granola Organic Happy Muesli Blueberry	Major-Demo	BakeryOnMain-GranolaOrganicHappyMuesliBlueberry-FourteenOz-2	400	8	8	Organic cane sugar									
11	Bakery on Main Granola Organic Super Seed with Sprouted Chia Happy Muesli	Major-Demo	BakeryOnMain-SuperSeedWithSproutedChiaHappyMuesli-FourteenOz-0	397	16	0										
